Height(m)	Return_Signal
1.775000000000000000e+01	4.284011066536264467e-08
1.760000000000000142e+01	7.695266133991673253e-07
1.744999999999999929e+01	7.391230893554465015e-06
1.730000000000000071e+01	4.138405348666166904e-05
1.714999999999999858e+01	1.435957200344768628e-04
1.700000000000000000e+01	3.361801319811876399e-04
1.685000000000000142e+01	5.900018402049872273e-04
1.669999999999999929e+01	8.603123833843776425e-04
1.655000000000000071e+01	1.124650274963666027e-03
1.639999999999999858e+01	1.378037168298509169e-03
1.625000000000000000e+01	1.620312258021035364e-03
1.610000000000000142e+01	1.851921869852259312e-03
1.594999999999999929e+01	2.073335521392113880e-03
1.580000000000000071e+01	2.285002061051687097e-03
1.565000000000000036e+01	2.487350577955999183e-03
1.550000000000000000e+01	2.680791271790872003e-03
1.534999999999999964e+01	2.865716284357246874e-03
1.519999999999999929e+01	3.042500494518659161e-03
1.505000000000000071e+01	3.211502278153403715e-03
1.490000000000000036e+01	3.373064234651930535e-03
1.475000000000000000e+01	3.527513881432261730e-03
1.459999999999999964e+01	3.675164317881304907e-03
1.444999999999999929e+01	3.816314860068037093e-03
1.430000000000000071e+01	3.951251647515221371e-03
1.415000000000000036e+01	4.080248223259710927e-03
1.400000000000000000e+01	4.203566088377233209e-03
1.384999999999999964e+01	4.321455232095789724e-03
1.369999999999999929e+01	4.434154638572290578e-03
1.355000000000000071e+01	4.541849931249139147e-03
1.340000000000000036e+01	4.644118509934068093e-03
1.325000000000000000e+01	4.735957994618446472e-03
1.310000000000000142e+01	4.796091884691648655e-03
1.294999999999999929e+01	4.783863267612769796e-03
1.280000000000000071e+01	4.677300655029578876e-03
1.265000000000000036e+01	4.505713878933661695e-03
1.250000000000000000e+01	4.314018106802006668e-03
1.235000000000000142e+01	4.124834192577218894e-03
1.219999999999999929e+01	3.943292834590579089e-03
1.205000000000000071e+01	3.769700483043328821e-03
1.190000000000000036e+01	3.603750045444585343e-03
1.175000000000000000e+01	3.445098032475106976e-03
1.160000000000000142e+01	3.293316969593378801e-03
1.144999999999999929e+01	3.147238718029487115e-03
1.130000000000000071e+01	3.003022309828438669e-03
1.115000000000000036e+01	2.853640240971857221e-03
1.100000000000000000e+01	2.695164903605831545e-03
1.085000000000000142e+01	2.532151614747180091e-03
1.069999999999999929e+01	2.371745686531180619e-03
1.055000000000000071e+01	2.217422255017277837e-03
1.040000000000000036e+01	2.069779219994106155e-03
1.025000000000000000e+01	1.928628677807373102e-03
1.010000000000000142e+01	1.793691890360189474e-03
9.949999999999999289e+00	1.664695314615700352e-03
9.800000000000000711e+00	1.541377449498177420e-03
9.650000000000000355e+00	1.423488305779621989e-03
9.500000000000000000e+00	1.310788899303119617e-03
9.349999999999999645e+00	1.203050766515606843e-03
9.200000000000001066e+00	1.100055501327942440e-03
9.050000000000000711e+00	1.001594312363409626e-03
8.900000000000000355e+00	9.074675996971003729e-04
8.750000000000000000e+00	8.174845502281641871e-04
8.599999999999999645e+00	7.314627508646432460e-04
8.450000000000001066e+00	6.492278187367610557e-04
8.300000000000000711e+00	5.706130476890259933e-04
8.150000000000000355e+00	4.954590703345244061e-04
8.000000000000000000e+00	4.236135349863219372e-04
7.849999999999999645e+00	3.549307968110461181e-04
7.700000000000001066e+00	2.892716225785654316e-04
7.550000000000000711e+00	2.265099840081891223e-04
7.400000000000000355e+00	1.666245072303439178e-04
7.250000000000000000e+00	1.103542418899242767e-04
7.099999999999999645e+00	6.112995625609992929e-05
6.950000000000001066e+00	2.558701254630736069e-05
6.800000000000000711e+00	7.278139750919093662e-06
6.650000000000000355e+00	1.289644974827524710e-06
6.500000000000000000e+00	1.336166922991628709e-07
6.349999999999999645e+00	7.401425870722549045e-09
6.200000000000001066e+00	0.000000000000000000e+00
6.050000000000000711e+00	0.000000000000000000e+00
5.900000000000000355e+00	0.000000000000000000e+00
5.750000000000000000e+00	0.000000000000000000e+00
5.599999999999999645e+00	0.000000000000000000e+00
5.450000000000001066e+00	0.000000000000000000e+00
5.300000000000000711e+00	0.000000000000000000e+00
5.150000000000000355e+00	0.000000000000000000e+00
5.000000000000000000e+00	0.000000000000000000e+00
4.849999999999999645e+00	0.000000000000000000e+00
4.700000000000001066e+00	0.000000000000000000e+00
4.550000000000000711e+00	0.000000000000000000e+00
4.400000000000000355e+00	0.000000000000000000e+00
4.250000000000000000e+00	0.000000000000000000e+00
4.099999999999999645e+00	0.000000000000000000e+00
3.950000000000001066e+00	0.000000000000000000e+00
3.800000000000000711e+00	0.000000000000000000e+00
3.650000000000000355e+00	0.000000000000000000e+00
3.500000000000000000e+00	0.000000000000000000e+00
3.350000000000001421e+00	0.000000000000000000e+00
3.200000000000001066e+00	0.000000000000000000e+00
3.050000000000000711e+00	0.000000000000000000e+00
2.900000000000000355e+00	0.000000000000000000e+00
2.750000000000000000e+00	0.000000000000000000e+00
2.600000000000001421e+00	0.000000000000000000e+00
2.450000000000001066e+00	0.000000000000000000e+00
2.300000000000000711e+00	0.000000000000000000e+00
2.150000000000000355e+00	0.000000000000000000e+00
2.000000000000000000e+00	0.000000000000000000e+00
1.850000000000001421e+00	0.000000000000000000e+00
1.699999999999999289e+00	0.000000000000000000e+00
1.550000000000000711e+00	0.000000000000000000e+00
1.400000000000002132e+00	0.000000000000000000e+00
1.250000000000000000e+00	0.000000000000000000e+00
1.100000000000001421e+00	0.000000000000000000e+00
9.499999999999992895e-01	0.000000000000000000e+00
8.000000000000007105e-01	1.493088311152724571e-05
6.500000000000021316e-01	2.389953892579266303e-04
5.000000000000000000e-01	2.065715139433152610e-03
3.500000000000014211e-01	9.641136356261207838e-03
1.999999999999992895e-01	2.429757329497611584e-02
5.000000000000071054e-02	3.306545166532477709e-02
-9.999999999999786837e-02	2.429757329497611584e-02
-2.500000000000000000e-01	9.641136356261207838e-03
-3.999999999999985789e-01	2.065715139433152610e-03
-5.500000000000007105e-01	2.389953892579266303e-04
-6.999999999999992895e-01	1.493088311152724571e-05
